methods;Data;Layers;Coherence;Congruence;Instability;Selectivity;Acumen;Verm_stability;Fidelity;Completness
l2x;FD001;1;0.49(0.18);0.38(0.06);0.48(0.05);0.58(0.03);0.04(0.02);1.0(0.0);0.83(0.05);0.14(0.24)
l2x;;2;0.45(0.17);0.36(0.05);0.41(0.12);0.6(0.03);0.04(0.02);1.0(0.0);0.87(0.02);0.18(0.15)
l2x;;3;0.0(0.0);0.0(0.0);0.52(0.09);0.45(0.1);0.04(0.02);1.0(0.0);1.0(0.0);1.0(0.0)
l2x;;4;0.42(0.15);0.36(0.05);0.46(0.13);0.6(0.04);0.05(0.01);1.0(0.0);0.88(0.01);0.29(0.3)
l2x;FD002;1;0.42(0.1);0.36(0.06);0.5(0.16);0.64(0.06);0.05(0.02);1.0(0.0);0.85(0.07);0.38(0.24)
l2x;;2;0.35(0.09);0.31(0.05);0.48(0.16);0.65(0.06);0.03(0.01);1.0(0.0);0.82(0.08);0.21(0.08)
l2x;;3;0.38(0.09);0.34(0.05);0.48(0.12);0.67(0.03);0.03(0.01);1.0(0.0);0.89(0.07);0.21(0.12)
l2x;;4;0.36(0.08);0.31(0.05);0.5(0.04);0.61(0.04);0.04(0.01);1.0(0.0);0.93(0.04);0.23(0.21)
l2x;FD003;1;0.0(0.0);0.0(0.0);0.46(0.12);0.45(0.06);0.03(0.01);1.0(0.0);1.0(0.0);1.0(0.0)
l2x;;2;0.8(0.99);0.53(0.45);0.53(0.07);0.77(0.05);0.03(0.01);1.0(0.0);0.39(0.2);0.11(0.05)
l2x;;3;0.63(0.81);0.46(0.4);0.44(0.15);0.79(0.08);0.02(0.01);1.0(0.0);0.36(0.23);0.24(0.19)
l2x;;4;0.65(0.85);0.46(0.38);0.54(0.09);0.79(0.05);0.03(0.02);1.0(0.0);0.44(0.17);0.24(0.27)
l2x;FD004;1;0.26(0.06);0.22(0.06);0.57(0.07);0.63(0.03);0.03(0.01);1.0(0.0);0.28(0.15);0.28(0.28)
l2x;;2;0.4(0.06);0.35(0.07);0.59(0.06);0.72(0.06);0.04(0.02);1.0(0.0);0.41(0.1);0.21(0.07)
l2x;;3;0.36(0.06);0.32(0.06);0.56(0.13);0.64(0.07);0.02(0.0);1.0(0.0);0.37(0.14);0.12(0.15)
l2x;;4;0.36(0.06);0.31(0.06);0.47(0.14);0.77(0.07);0.03(0.02);1.0(0.0);0.35(0.17);0.13(0.18)
