,identity,separability,stability,coherence,completness,congruence,selectivity,accumen,explainer
0,1.0,1.0,1.0,0.25000184774398804,123.78204345703125,0.3060724139213562,0.6141244247555733,0.042397137745974964,lime_1c
0,1.0,1.0,1.0,0.14778049290180206,0.4737275242805481,0.18338041007518768,0.5684322208166123,0.31352415026833635,shap_1c
0,1.0,1.0,0.9,0.18170376103313657,2.019101926400103,0.22292086502168282,0.6200885474681854,0.035885509838998214,l2x_1c
0,1.0,1.0,1.0,0.16133467853069305,573.3304443359375,0.18566377460956573,0.5554075181484223,0.11914132379248658,lime_1c
0,1.0,1.0,1.0,0.15756316483020782,0.4267016351222992,0.181761234998703,0.5930141180753707,0.47203935599284436,shap_1c
0,1.0,1.0,1.0,0.15511578201329784,0.608091363020594,0.17912354880725825,0.5444970816373825,0.052486583184257606,l2x_1c
0,1.0,1.0,1.0,0.14481781423091888,32.490020751953125,0.24555784463882446,0.6306982189416885,0.04451997614788313,lime_1c
0,1.0,1.0,0.9,0.14137640595436096,0.5476188063621521,0.2434179186820984,0.6607671365141868,0.5830590339892666,shap_1c
0,1.0,1.0,1.0,0.1744056136947248,0.20554027572787698,0.2718032524821036,0.6695408686995507,0.03531305903398928,l2x_1c
0,1.0,1.0,1.0,0.2273058444261551,0.19897034764289856,0.25117844343185425,0.5689982593059539,0.1134525939177102,lime_1c
0,1.0,1.0,1.0,0.22212597727775574,0.3643234372138977,0.24808882176876068,0.6889884486794472,0.4454561717352415,shap_1c
0,1.0,1.0,1.0,0.26399011089024926,2.0967622368504384,0.3092802529450256,0.557520580291748,0.06926654740608229,l2x_1c
0,1.0,1.0,0.9,0.42500028014183044,2.116522789001465,0.3385795056819916,0.5495634749531746,0.039991055456171744,lime_1c
0,1.0,1.0,0.9,0.33297404646873474,0.2797613739967346,0.32170432806015015,0.6954706877470016,0.3095885509838998,shap_1c
0,1.0,1.0,0.9,0.4724522885059218,10.549357441752102,0.35698781503967586,0.5784497022628784,0.03180679785330949,l2x_1c
0,1.0,1.0,1.0,0.16915690898895264,0.11508168280124664,0.20165884494781494,0.7736059255897999,0.12515205724508052,lime_1c
0,1.0,1.0,1.0,0.16506202518939972,0.3329562544822693,0.2047891467809677,0.6835500583052635,0.49638640429338104,shap_1c
0,1.0,1.0,0.9,0.1912236007578102,31.85641798303829,0.2270292693316025,0.7252853229641915,0.024007155635062612,l2x_1c
0,1.0,1.0,1.0,0.1849471628665924,0.09051507711410522,0.1923569142818451,0.728774932026863,0.11330948121645797,lime_1c
0,1.0,1.0,1.0,0.17404338717460632,0.30429938435554504,0.19939203560352325,0.7135770924389362,0.4977817531305904,shap_1c
0,1.0,1.0,1.0,0.17499835428158744,53.74667853485206,0.18210413858495428,0.7336105681955815,0.02719141323792488,l2x_1c
0,1.0,1.0,1.0,0.15800799429416656,0.10780968517065048,0.26565027236938477,0.7960591465234756,0.11939177101967799,lime_1c
0,1.0,1.0,0.7,0.15798579156398773,0.13077262043952942,0.26564648747444153,0.8007424205541611,0.4877638640429338,shap_1c
0,1.0,1.0,1.0,0.18256042316149007,1.1741591005792675,0.28106930377980005,0.7596375867724419,0.023470483005366735,l2x_1c
0,1.0,1.0,1.0,0.25113657116889954,0.03001643344759941,0.2694101929664612,0.6604866802692413,0.12046511627906978,lime_1c
0,1.0,1.0,0.7,0.2511090338230133,0.03798168525099754,0.2694050967693329,0.8453383430838585,0.42339892665474055,shap_1c
0,1.0,1.0,1.0,0.27270609894493314,9.140039614445808,0.321433761287575,0.7576808340847492,0.01756708407871199,l2x_1c
0,1.0,1.0,1.0,0.3563823103904724,0.019454414024949074,0.3482277989387512,0.6643729031085968,0.1365652951699463,lime_1c
0,1.0,1.0,1.0,0.3562930226325989,0.12391425669193268,0.3482798933982849,0.798989114165306,0.5947942754919499,shap_1c
0,1.0,1.0,0.9,0.40121485299882736,43.57980488808177,0.3746691723355336,0.6146863922476768,0.03917710196779963,l2x_1c
0,1.0,1.0,0.9,0.1731230616569519,0.8819006681442261,0.2078671157360077,0.6889332711696625,0.0768515205724508,lime_1c
0,1.0,1.0,1.0,0.1729682981967926,0.4313943386077881,0.2080012410879135,0.755051389336586,0.45946332737030415,shap_1c
0,1.0,1.0,1.0,0.24535109201095548,11.696603273727082,0.24664775607797612,0.7056727543473243,0.02089445438282648,l2x_1c
0,1.0,1.0,1.0,0.17217500507831573,3398.62255859375,0.1952473670244217,0.7786561131477356,0.12007155635062612,lime_1c
0,1.0,1.0,1.0,0.1721782088279724,925.0363159179688,0.1952497512102127,0.7136834472417831,0.5239713774597495,shap_1c
0,1.0,1.0,1.0,0.17312917155954147,136.21370844999882,0.19701081525933378,0.6412833988666534,0.04121645796064402,l2x_1c
0,1.0,1.0,1.0,0.1643550843000412,0.0862429141998291,0.2678585350513458,0.8005926124751568,0.05742397137745975,lime_1c
0,1.0,1.0,0.8,0.16436102986335754,0.020510677248239517,0.2678590714931488,0.8450171038508415,0.33076923076923076,shap_1c
0,1.0,1.0,1.0,0.1958502301334184,5.651008667456647,0.2860224214591913,0.7892016105353832,0.02751341681574241,l2x_1c
0,1.0,1.0,1.0,0.23012574017047882,0.01398337073624134,0.26852571964263916,0.7215319365262985,0.14110912343470483,lime_1c
0,1.0,1.0,0.9,0.23013074696063995,0.0033227514941245317,0.2685253918170929,0.8088599123060703,0.38547406082289803,shap_1c
0,1.0,1.0,1.0,0.28202827120423557,48.18442739292736,0.3276747017729662,0.6348462477326393,0.010805008944543835,l2x_1c
0,1.0,1.0,1.0,0.34411051869392395,0.04569796472787857,0.3455600142478943,0.6743642076849937,0.04239713774597496,lime_1c
0,1.0,1.0,1.0,0.3440263271331787,0.11216410249471664,0.34564924240112305,0.7749296873807907,0.428139534883721,shap_1c
0,1.0,1.0,1.0,0.4072342221277875,153.72508542341257,0.38654852164550785,0.6528247445821762,0.025509838998211087,l2x_1c
0,1.0,1.0,1.0,0.17302536964416504,1.2247188091278076,0.21137060225009918,0.7567310631275177,0.12286225402504473,lime_4c
0,1.0,1.0,1.0,0.17301997542381287,0.4491978585720062,0.21138259768486023,0.7414247881621122,0.3390339892665474,shap_4c
0,1.0,1.0,1.0,0.19473193593076343,1.028696989673631,0.2388159109174222,0.696334458142519,0.04075134168157424,l2x_4c
0,1.0,1.0,1.0,0.1735561192035675,43.29616928100586,0.20337389409542084,0.7161321118474007,0.04919499105545618,lime_4c
0,1.0,1.0,1.0,0.17296944558620453,0.2526547908782959,0.20387230813503265,0.7058450799435377,0.35788908765652955,shap_4c
0,1.0,1.0,1.0,0.17100624004404247,30.41417992823895,0.19513546891798322,0.7361387997865677,0.03194991055456172,l2x_4c
0,1.0,1.0,1.0,0.1576458066701889,0.10512103885412216,0.2576221823692322,0.8525265861302614,0.07846153846153846,lime_4c
0,1.0,1.0,0.8,0.15765462815761566,0.022827651351690292,0.2576221525669098,0.8836128953844309,0.37552772808586765,shap_4c
0,1.0,1.0,1.0,0.19500232538543183,3.1064593263673492,0.2853689989041712,0.8302135661244392,0.012450805008944547,l2x_4c
0,1.0,1.0,1.0,0.2595140039920807,0.009319530799984932,0.2771880626678467,0.8303769551217556,0.09806797853309482,lime_4c
0,1.0,1.0,0.9,0.25952261686325073,0.0014228852232918143,0.2771879732608795,0.8223253425210715,0.38389982110912346,shap_4c
0,1.0,1.0,1.0,0.28125575431557814,27.404791686008576,0.3321682640486958,0.7265653267502785,0.031055456171735246,l2x_4c
0,1.0,1.0,1.0,0.3590855896472931,101.16986846923828,0.3470354974269867,0.7375177226960659,0.10951699463327372,lime_4c
0,1.0,1.0,1.0,0.35836711525917053,0.1012679785490036,0.34777870774269104,0.7988286539912224,0.2567978533094812,shap_4c
0,1.0,1.0,0.9,0.4134683866023936,172.27253626234832,0.38505374397264086,0.7234805136919021,0.0229695885509839,l2x_4c
