models,identity,separability,stability,coherence,congruence,selectivity,accumen,completeness,methode
1_layer,1.0(0.0),1.0(0.0),0.98(0.04),0.24(0.11),0.27(0.06),0.58(0.04),0.07(0.04),0.14(0.2),lime
2_layers,1.0(0.0),1.0(0.0),1.0(0.0),0.22(0.08),0.26(0.06),0.72(0.06),0.12(0.01),0.07(0.04),lime
3_layers,1.0(0.0),1.0(0.0),0.98(0.04),0.22(0.08),0.26(0.06),0.73(0.06),0.09(0.04),0.21(0.38),lime
4_layers,1.0(0.0),1.0(0.0),1.0(0.0),0.22(0.09),0.26(0.06),0.78(0.06),0.09(0.03),0.19(0.35),lime
1_layer,1.0(0.0),1.0(0.0),0.96(0.05),0.2(0.08),0.24(0.06),0.64(0.06),0.42(0.12),0.42(0.1),shap
2_layers,1.0(0.0),1.0(0.0),0.88(0.16),0.22(0.08),0.26(0.06),0.77(0.07),0.5(0.06),0.19(0.13),shap
3_layers,1.0(0.0),1.0(0.0),0.94(0.09),0.22(0.08),0.26(0.06),0.78(0.05),0.43(0.07),0.11(0.18),shap
4_layers,1.0(0.0),1.0(0.0),0.94(0.09),0.22(0.09),0.26(0.06),0.79(0.07),0.34(0.05),0.17(0.19),shap
1_layer,1.0(0.0),1.0(0.0),0.96(0.05),0.25(0.13),0.27(0.07),0.59(0.05),0.04(0.02),0.38(0.22),l2x
2_layers,1.0(0.0),1.0(0.0),0.96(0.05),0.24(0.1),0.28(0.08),0.72(0.06),0.03(0.01),0.21(0.36),l2x
3_layers,1.0(0.0),1.0(0.0),1.0(0.0),0.26(0.09),0.29(0.07),0.68(0.06),0.03(0.01),0.06(0.07),l2x
4_layers,1.0(0.0),1.0(0.0),0.98(0.04),0.25(0.1),0.29(0.07),0.74(0.05),0.03(0.01),0.27(0.41),l2x
