,RMSE_val,RMSE_test,R2_test,Score_test,alpha,rul_piecewise,sequence_length
0,14.86618627162647,16.62551425495922,0.8142187198003134,685.6616711732646,0.2,120,30
1,15.33742142511836,15.939499827437169,0.8142187198003134,685.6616711732646,0.2,120,30
2,16.702418827155974,16.721566002255184,0.8142187198003134,685.6616711732646,0.2,120,30
3,14.575242128536622,15.253357258024456,0.785909096399943,1270.2619957740444,0.2,125,30
4,16.510918905840292,19.315768548972915,0.785909096399943,1270.2619957740444,0.2,125,30
5,17.36464992145051,18.104267559404228,0.785909096399943,1270.2619957740444,0.2,125,30
6,17.548079356765175,19.726980935593463,0.6942399740219116,2054.647358390137,0.2,130,30
7,19.203110697207855,21.99818639823665,0.6942399740219116,2054.647358390137,0.2,130,30
8,19.784828862666465,21.451594259468873,0.6942399740219116,2054.647358390137,0.2,130,30
9,16.338095976182572,19.426700175357045,0.7315294941266378,1560.1385873833758,0.3,120,30
10,17.59582008664229,21.155593972710395,0.7315294941266378,1560.1385873833758,0.3,120,30
11,21.246101291021827,18.592762879323224,0.7315294941266378,1560.1385873833758,0.3,120,30
12,15.886266840296173,16.980672872992397,0.7888566255569458,1260.3154262945245,0.3,125,30
13,17.030079876661436,18.39749107941566,0.7888566255569458,1260.3154262945245,0.3,125,30
14,17.847599395975323,17.142484336076432,0.7888566255569458,1260.3154262945245,0.3,125,30
