,RMSE,std_RMSE,S_score,std_S_score,MSE,std_MSE,alpha,epochs,nodes,dropout,activation,batch_size,sequence_length,sensor_length
0,12.847425585061899,0.4313533368775927,1143.0123798518573,191.12120845049145,88.98804473876953,5.223137560297241,0.1,15,[32],0.4,tanh,32,35,21
1,10.465725049678321,0.47809171759135083,490.51245275150217,27.848674856743724,97.15454610188802,8.117203032151789,0.6,15,"[32, 64]",0.3,tanh,32,35,21
2,11.862032908359422,1.1064968214262496,553.9784242061344,48.17213561005534,141.0758310953776,7.333843714799,0.1,15,"[64, 128]",0.4,sigmoid,64,15,21
3,19.87917887968614,11.519160763746218,11094.812234410203,14937.555561687692,458.2347056070964,432.5511231366302,0.1,15,"[64, 128]",0.2,sigmoid,128,15,21
4,12.586328194688782,0.19933023267180547,652.337247720474,41.80498502125356,163.76787821451822,22.07386627874335,0.5,15,[256],0.4,sigmoid,64,10,21
5,10.631074857767176,0.37738463728883864,422.815856956106,9.667528544618401,129.10022735595703,15.24292558632032,0.3,15,[32],0.2,tanh,32,20,21
6,21.308799851651848,10.498851789438227,11314.252593351644,14687.68306104784,485.2051035563151,407.11624226295095,0.6,15,"[64, 128]",0.4,sigmoid,256,10,21
7,12.90221623728992,0.4222406134008746,665.6482119842955,58.137655663375,167.23802185058594,23.239714920521166,0.6,15,"[128, 256]",0.2,sigmoid,128,10,21
8,23.20645650107407,8.708788136812451,10302.436241575015,7447.72215018644,468.58752695719403,455.273527563981,0.01,15,"[64, 128]",0.4,sigmoid,256,40,21
9,10.012924787602062,0.05490147873217484,428.67013247590415,35.16560444698223,105.95337677001953,7.275600909822651,0.5,15,"[32, 64]",0.2,sigmoid,64,35,21
