,RMSE,std_RMSE,S_score,std_S_score,MSE,std_MSE,nodes,dropout,activation,batch_size
0,19.804120904345933,1.3052781714325827,2976.659213681922,649.0530789516761,286.7147979736328,89.6609897736104,[32],0.2,sigmoid,64
1,34.18782498331124,11.301126556392695,160000.37146651754,160563.08742357508,890.0330556233724,594.4550089761648,[256],0.1,tanh,512
2,23.390785510207337,4.2919134055602735,9363.598822312106,1213.7618170116223,466.5080922444661,343.7920599202719,[64],0.4,tanh,256
3,46.291581325003584,4.126466178133953,50952.842398801855,23592.38302172452,2373.0238037109375,840.2345357210427,[64],0.4,sigmoid,512
4,18.601218792799045,3.529922683544247,6503.15845720249,6803.801139790089,217.44476318359375,44.23472494679297,[32],0.4,tanh,64
5,27.10944168884461,11.691554953110904,9449.46612477723,9203.025571990007,900.9437255859375,875.3415785352053,[32],0.1,tanh,256
6,37.81079410412571,8.50530654574803,50952.06306293383,35251.408980797845,1367.8587748209636,793.9316514838001,[64],0.1,tanh,512
7,23.333451994066547,1.9733828187838018,21086.454431491486,9019.18031228115,232.06403605143228,51.20644838129637,[64],0.4,tanh,128
8,44.21585566208379,0.1315973547932276,103128.23800292709,5656.808425873818,1716.7113444010417,18.788047639487537,[256],0.3,sigmoid,512
9,27.919696178743617,11.219184804012613,32864.882947569415,36555.330604670606,724.3662567138672,696.5908165881068,[64],0.4,tanh,256
10,30.29885780867122,10.14092632294266,12778.860561026338,7004.624353156884,1069.7473551432292,795.3879518132101,[64],0.2,tanh,512
11,22.280876514509355,0.3729836188708446,6904.754026836796,490.7142357121,252.52713521321616,50.25686376456648,[128],0.2,sigmoid,64
12,27.077093754387786,12.130123554900631,36587.89021370546,46534.895958358415,722.2504425048828,685.1594769250838,[128],0.1,tanh,128
13,30.44282022104821,9.527173579590656,47771.12394407127,29842.5867594006,717.294443766276,697.1179608526421,[64],0.1,tanh,256
14,20.161245852460823,1.123949879415373,5639.047067451683,4505.6166596494495,244.38237508138022,56.79265687135167,[256],0.2,tanh,128
15,18.31175339681971,0.8210023050185365,3317.4931515638586,1314.5423965239213,256.25377400716144,56.31545762657171,[32],0.4,tanh,64
16,27.41633719988913,10.872718334388974,30246.396520165323,34306.908250408895,682.3834584554037,635.6022206597225,[64],0.1,sigmoid,128
17,29.71071020460475,9.954093355657603,20263.952489388186,1292.5142047839008,892.7798461914062,903.7633874948718,[32],0.3,tanh,256
18,28.427965276305045,11.030600221122258,35368.329752150086,41819.95485006671,730.8892873128256,683.8398268222587,[64],0.2,sigmoid,128
19,50.3370395907132,7.918779152683874,49290.988573825955,31338.268079805028,3117.5201009114585,1357.247328496659,[32],0.4,sigmoid,512
20,43.53985909825631,0.3734780670757028,72015.15047457548,19032.58370644468,1763.0443115234375,46.64458620043522,[32],0.4,sigmoid,128
21,35.999801368422986,10.85906253297886,59185.916851268026,38448.828472937494,1212.4025166829426,693.0069414069029,[128],0.3,tanh,512
22,19.889557343224542,1.1747409666224276,5582.837399933608,3298.47124786462,226.37098693847656,50.20996449729507,[64],0.2,tanh,128
23,40.419034858938964,12.215592667032082,23410.219112207295,13623.541160067472,2130.3040364583335,1300.7103779023325,[32],0.2,tanh,512
24,29.280344489124545,9.841651566413015,33878.9183797892,35487.15207967593,692.8156026204427,654.8274863877658,[256],0.3,sigmoid,256
25,21.317105623852935,1.3361794622029628,6464.471191394162,3479.8766176922086,293.22771708170575,114.03362687414058,[32],0.4,tanh,128
26,17.190440436887076,0.6305529038628787,2137.2315974077405,224.47440203716465,256.66277567545575,44.581143686809575,[256],0.1,sigmoid,128
27,19.230908959236714,2.0347586295606903,2851.6752007897285,975.2781404699524,280.67914326985675,82.64123827895864,[32],0.3,tanh,128
28,43.791287584251556,0.34413811024356933,84618.81691264633,15170.5302132413,1735.6644694010417,14.370206009427594,[32],0.3,sigmoid,128
29,21.00254843405965,1.5276132362908765,6136.411628938862,2599.7921032487393,243.81975809733072,44.42934041922974,[256],0.2,sigmoid,128
